cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
0384771312;455848;117610486.33;3.0;41730000.0;SETTORI ORDINARI;2009-10-30;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;CONFSERVIZI LOMBARDIA;SEZIONE REGIONALE LOMBARDIA;ARTICOLI DI FARMACIA;VIM SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0364268B73;438099;149700.0;1.0;149700.0;SETTORI ORDINARI;2009-10-13;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;REGIONE SICILIANA;SEZIONE REGIONALE SICILIA;LAVORI DI COSTRUZIONE DI OPERE D'ARTE, ESCLUSI PONTI, GALLERIE, POZZI E SOTTOPASSAGGI;ING. PRIOLO ROBERTO SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
37911224D7;3785263;61822.4;1.0;61822.4;SETTORI ORDINARI;2009-10-09;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;COMUNE DI CALASCIO;SEZIONE REGIONALE ABRUZZO;INSTALLAZIONE DI STRUTTURE METALLICHE;MILLETTI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0381073761;452591;156750.0;19.0;22500.0;SETTORI ORDINARI;2009-10-11;PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA SANITARIA PROVINCIALE DI MESSINA;SEZIONE REGIONALE SICILIA;PRESIDI PER ANGIOGRAFIA;G&V HOSPITAL SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
038869379A;459431;204166.0;1.0;204166.0;SETTORI ORDINARI;2009-10-27;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;COMUNE DI AOSTA;SEZIONE REGIONALE VALLE DAOSTA;SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ CIVILE GENERALE;INA ASSITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0382548896;453971;65958.219;1.0;65958.22;SETTORI ORDINARI;2009-10-16;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;REGIONE LAZIO;SEZIONE REGIONALE LAZIO;OPERE D'ARTE E STRUTTURE;EDL SISTEMI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
04419948FA;505056;42226.328;1.0;42226.33;SETTORI ORDINARI;2009-10-14;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;ISTITUTO NAZIONALE PERL ASSICURAZIONE CONTRO GLI INFORTUNI SUL LAVORO;SEZIONE REGIONALE CENTRALE;LAVORI DI COSTRUZIONE DI EDIFICI MULTIFUNZIONALI;CFL S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3431718746;3442605;120683.0;1.0;120683.0;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA ULSS 18 ROVIGO;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;VITALAIRE ITALIA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2277147924;2353820;28880.0;1.0;28880.0;SETTORI ORDINARI;2009-10-16;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;AZIENDA PER LA TUTELA DELLA SALUTE;SEZIONE REGIONALE SARDEGNA;STAZIONI DI LAVORO;KRENE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03817050EE;453225;42900.0;1.0;42900.0;SETTORI ORDINARI;2009-10-16;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI IGLESIAS;SEZIONE REGIONALE SARDEGNA;LAVORI DI RIPORTO E BONIFICA DEL TERRENO;APPALTI STRADALI EDILI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0377048DD6;449538;1937500.0;3.0;277500.0;SETTORI SPECIALI;2009-10-07;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO D'APPALTO;RETE FERROVIARIA ITALIANA SPA;SEZIONE REGIONALE CENTRALE;PIETRE PREZIOSE E SEMIPREZIOSE;PORFIDO ELIT;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4728434B2A;4656814;548534.66;1.0;548534.66;SETTORI ORDINARI;2009-10-04;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;SOGEI SPA;SEZIONE REGIONALE CENTRALE;SERVIZI DI MANUTENZIONE E RIPARAZIONE DI SOFTWARE;SUN MICROSYSTEMS ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4936067B56;4849818;75678.64;1.0;75678.64;SETTORI ORDINARI;2009-10-27;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;AMMINISTRAZIONE PROVINCIALE DI CROTONE;SEZIONE REGIONALE CALABRIA;LAVORI STRADALI;MARRAZZO SALVATORE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2719013880;2775571;880390.0;1.0;880390.0;SETTORI ORDINARI;2009-10-09;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI MISTERBIANCO;SEZIONE REGIONALE SICILIA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;COESI COSTRUZIONI GENERALI S.P.A;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
2719013880;2775571;880390.0;1.0;880390.0;SETTORI ORDINARI;2009-10-09;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI MISTERBIANCO;SEZIONE REGIONALE SICILIA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;SIBA SPA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0813575752;857636;45730.16;1.0;45730.16;SETTORI SPECIALI;2009-10-15;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;RUZZO RETI S.P.A.;SEZIONE REGIONALE ABRUZZO;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE;SORGENTONE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
5214793750;5105985;49500.0;1.0;49500.0;SETTORI SPECIALI;2009-10-07;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;SUEDTIROLGAS SPA;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;RETE PER LA DISTRIBUZIONE DEL GAS;VAJA WALTER;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0379408960;451396;88276.0;1.0;88276.0;SETTORI ORDINARI;2009-10-13;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI ANCONA;SEZIONE REGIONALE MARCHE;LAVORI DI ARCHITETTURA PAESAGGISTICA PER AREE VERDI;GARDEN CLAUDIA DI C. BALDONI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3300853E0D;3318710;272246.0;1.0;272246.0;SETTORI ORDINARI;2009-10-13;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;AZIENDA SANITARIA LOCALE 1 DI AVEZZANO-SULMONA-L AQUILA;SEZIONE REGIONALE ABRUZZO;SERVIZI DI FORNITURA DI SOFTWARE;TELECOM ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3670490829;3668222;21950.0;1.0;21950.0;SETTORI SPECIALI;2009-10-26;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;ACEA ATO 5 S.P.A.;SEZIONE REGIONALE LAZIO;MACCHINARI E APPARECCHI DI FILTRAGGIO O DEPURAZIONE DELL'ACQUA;COMECO MACCHINE TRATTAMENTO ACQUE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0382291482;453710;20000.0;1.0;20000.0;SETTORI ORDINARI;2009-10-20;PROCEDURA RISTRETTA;ACQUISIZIONE IN ECONOMIA;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTIMO;SEZIONE REGIONALE CENTRALE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI POMPE, VALVOLE, RUBINETTI E CONTENITORI METALLICI;I.M.I.T. DI GILIO GENNARO E C. SNC;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0383963848;455224;78841.81;1.0;78841.81;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AZIENDA SANITARIA LOCALE BA;SEZIONE REGIONALE PUGLIA;LAVORI DI RIPARAZIONE E RIPRISTINO;PROGE IMM;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0378649708;450888;62356.57;1.0;62356.57;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AZIENDA SANITARIA LOCALE BA;SEZIONE REGIONALE PUGLIA;LAVORI DI DECORAZIONE;IMPRESA EDILE  ABBINANTE  FILIPPO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
320483597F;3225492;69274.0;1.0;69274.0;SETTORI ORDINARI;2009-10-14;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;EQUITALIA SUD SPA CON SOCIO UNICO;SEZIONE REGIONALE CENTRALE;STAMPANTI LASER;XEROX ITALIA RENTAL SERVICES SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3182745442;3205091;210000.0;1.0;210000.0;SETTORI ORDINARI;2009-10-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ENTE ACQUE DELLA SARDEGNA - ENAS;SEZIONE REGIONALE SARDEGNA;SERVIZI DI ANALISI;DIPARTIMENTO ECONOMIA E SISTEMI ARBOREI UNIVERSITÀ DI SASSARI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3079484695;3110213;984000.0;1.0;984000.0;SETTORI ORDINARI;2009-10-16;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;AZIENDA OSPEDALIERA OSPEDALE CARLO POMA;SEZIONE REGIONALE LOMBARDIA;SISTEMA DI TELECOMUNICAZIONI;TELECOM  ITALIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3606825E22;3607620;41000.0;1.0;41000.0;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA ULSS 18 ROVIGO;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;PHILIPS S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4183358839;4155878;724676.18;1.0;724676.18;SETTORI ORDINARI;2009-10-13;PROCEDURA APERTA;CONTRATTO D'APPALTO;ISTITUTO PER L EDILIZIA SOCIALE DELLA PROVINCIA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;LAVORI DI COSTRUZIONE PER CASE;BRUGGER GMBH;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
51976070FC;5090149;55987.33;1.0;55987.33;SETTORI ORDINARI;2009-11-03;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;PROVINCIA AUTONOMA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI DI PROGETTAZIONE DI CONDUTTURE;BRUNETTI DR. ING. STEFANO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3069138CC9;3100540;115000.0;1.0;115000.0;SETTORI ORDINARI;2009-11-30;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;UNIVERSITA  DEGLI STUDI DI ROMA TOR VERGATA;SEZIONE REGIONALE CENTRALE;INTERFACCE DI RETE;ATS ADVANCED TELECOM SYSTEMS SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03806488A8;452247;13077000.0;50.0;425000.0;SETTORI ORDINARI;2009-11-07;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;AZIENDA ULSS N. 15 ALTA PADOVANA;SEZIONE REGIONALE VENETO;STRUMENTI PER ANESTESIA E RIANIMAZIONE;TELEFLEX MEDICAL SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3673985C52;3671380;44770.37;1.0;44770.37;SETTORI ORDINARI;2009-11-23;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;PROVINCIA AUTONOMA DI TRENTO;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;SERVIZI DI SALVAGUARDIA DI EDIFICI STORICI;TACUS ARCH. SILVANO & DIDONE ARCH. FRANCO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2719093A84;2775700;35000.0;1.0;35000.0;SETTORI ORDINARI;2009-11-23;AFFIDAMENTO DIRETTO;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI BOLOGNA;SEZIONE REGIONALE EMILIA ROMAGNA;SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE;MAIA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0454932DBF;515393;75649.79;1.0;75649.79;SETTORI ORDINARI;2009-11-13;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO D'APPALTO;COMUNE DI GENOVA;SEZIONE REGIONALE LIGURIA;LAVORI DI MANUTENZIONE STRADALE;C.M.A. ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0380661364;452247;13077000.0;50.0;71000.0;SETTORI ORDINARI;2009-11-07;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;AZIENDA ULSS N. 15 ALTA PADOVANA;SEZIONE REGIONALE VENETO;MASCHERE PER ANESTESIA;DEAS SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
265250438B;2712130;42650.0;1.0;42650.0;SETTORI ORDINARI;2009-11-12;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;DIREZIONE REGIONALE PER I BENI CULTURALI E PAESAGGISTICI DEL VENETO;SEZIONE REGIONALE CENTRALE;SERVIZI DI SALVAGUARDIA DI SITI STORICI;P.ET.R.A. SOC. COOP.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0380672C75;452247;13077000.0;50.0;525000.0;SETTORI ORDINARI;2009-11-07;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;AZIENDA ULSS N. 15 ALTA PADOVANA;SEZIONE REGIONALE VENETO;KIT RESPIRATORI;BENEFIS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2808127BB2;2857259;35000.0;1.0;35000.0;SETTORI ORDINARI;2009-11-23;AFFIDAMENTO DIRETTO;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI BOLOGNA;SEZIONE REGIONALE EMILIA ROMAGNA;SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE;PENZIONATO ILENIA SNC;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0389246FF1;459927;42686.24;1.0;42686.24;SETTORI ORDINARI;2009-11-02;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AZIENDA SANITARIA LOCALE BA;SEZIONE REGIONALE PUGLIA;LAVORI DI RIPARAZIONE E RIPRISTINO;FULLENGINEERING;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
310247535C;3130578;77336.29;1.0;77336.29;SETTORI ORDINARI;2009-11-17;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO;AUTORITA  PORTUALE DI TRIESTE;SEZIONE REGIONALE CENTRALE;VARI SERVIZI DI INGEGNERIA;ARCHEST SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3212499E06;3221602;2500000.0;1.0;2500000.0;SETTORI SPECIALI;2009-11-25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;ACCORDO QUADRO/CONVENZIONE;SOCIETA PER AZIONI ESERCIZI AEROPORTUALI S.E.A.;SEZIONE REGIONALE CENTRALE;SERVIZI DI INGEGNERIA AEROPORTUALE;CONSORZIO MALPENSA CONSTRUCTION;"CONSORZIO (CONSORZI TRA SOCIETACOOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
67845660FB;6500986;78801.64;1.0;78801.64;SETTORI ORDINARI;2009-11-19;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI COMEGLIANS;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI INFORMAZIONE TURISTICA;TERZIARIA CAT UDINE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03972973DA;466946;357966.031;12.0;40000.0;SETTORI ORDINARI;2009-11-23;PROCEDURA APERTA;CONTRATTO DAPPALTO;CENTRO SERVIZI CONDIVISI;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;STRUMENTI PER SALA OPERATORIA;CROMA GIO.BATTA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2871915B38;2916964;87205.0;2.0;36000.0;SETTORI ORDINARI;2009-11-12;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA ASL N.8 DI CAGLIARI;SEZIONE REGIONALE SARDEGNA;REAGENTI E MEZZI DI CONTRASTO;DAKO ITALIA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
5626261972;5476698;500000.0;1.0;500000.0;SETTORI ORDINARI;2009-11-19;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;REGIONE PUGLIA;SEZIONE REGIONALE PUGLIA;SERVIZI ARTISTICI DI PRODUTTORI TEATRALI, CORI, BANDE MUSICALI E ORCHESTRE;FONDAZIONE PAOLO GRASSI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4048153189;4027726;49462.699;1.0;49462.7;SETTORI ORDINARI;2009-11-18;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MINISTERO DIFESA COMANDO GENERALE ARMA CARABINIERI;SEZIONE REGIONALE CENTRALE;LAVORI EDILI;S.I.CO.MAR. S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
037342935B;446147;4600000.0;1.0;4600000.0;SETTORI ORDINARI;2009-11-25;PROCEDURA APERTA;CONTRATTO DAPPALTO;COMUNE DI MILANO;SEZIONE REGIONALE LOMBARDIA;SERVIZI DI FORNITURA DI PERSONALE DUFFICIO;GI GROUP ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03899862A0;460484;50000.0;1.0;50000.0;SETTORI ORDINARI;2009-11-05;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA SANITARIA PROVINCIALE DI CATANIA;SEZIONE REGIONALE SICILIA;SERVIZI DI INVESTIGAZIONE DI SITO;GEOMERID S.R.L. ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3451864847;3460794;72614.883;1.0;72614.88;SETTORI ORDINARI;2009-11-23;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;REGIONE AUTONOMA DELLA SARDEGNA;SEZIONE REGIONALE SARDEGNA;SERVIZI CONNESSI ALLA PRODUZIONE AGRICOLA;CENTRO DI ASSISTENZA AGRICOLA - CIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4480727CE1;4427612;122092.41;1.0;122092.41;SETTORI ORDINARI;2009-11-27;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;PROVINCIA AUTONOMA DI TRENTO;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;LAVORI DI RESTAURO;NEROBUTTO TIZIANO & FRANCESCO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2747232F8C;2801613;144000.0;1.0;144000.0;SETTORI ORDINARI;2009-11-11;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA OSPEDALIERA DI TERNI;SEZIONE REGIONALE UMBRIA;APPARECCHI PER IL SOSTEGNO DELLE FUNZIONI CARDIACHE;TECNOHEALTH S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0585397CDF;627753;135000.0;1.0;135000.0;SETTORI ORDINARI;2009-11-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ISTITUTO ZOOPROFILATTICO SPERIMENTALE DEL MEZZOGIORNO;SEZIONE REGIONALE CAMPANIA;COLTURE MICROBIOLOGICHE;D.I.D. S.P.A;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0585397CDF;627753;135000.0;1.0;135000.0;SETTORI ORDINARI;2009-11-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ISTITUTO ZOOPROFILATTICO SPERIMENTALE DEL MEZZOGIORNO;SEZIONE REGIONALE CAMPANIA;COLTURE MICROBIOLOGICHE;OXOID SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0585397CDF;627753;135000.0;1.0;135000.0;SETTORI ORDINARI;2009-11-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ISTITUTO ZOOPROFILATTICO SPERIMENTALE DEL MEZZOGIORNO;SEZIONE REGIONALE CAMPANIA;COLTURE MICROBIOLOGICHE;BIOLIFE ITALIANA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
